No.,Title,Brand/ Manufacturer,Date,UPC codes,model.id,Summary,Repair Number,,Unnamed: 5,brand_names,retail_names,manufacturer,Title
15,SMEG USA Recalls Refrigerators Due to Injury Hazard,SMEG,8/8/2024,,FAB38U,"This recall involves SMEG-branded, retro style refrigerators with freezer, with model numbers starting with FAB38U. The special-order refrigerators measure about 28 inches wide, 30 inches deep and 80 inches high, and were sold in black, cream, pastel blue, pastel green, red and white, with either left-opening or right-opening doors with handles. The refrigerators have three adjustable glass shelves and two drawers. The bottom freezer has a separate door and three drawers. ""SMEG"" is on the front of the refrigerator, and ""Made in Italy"", the model, and serial numbers that begin with 2781 are printed on a white label inside of the refrigerator's top door.",24334,,https://www.cpsc.gov/Recalls/2024/SMEG-USA-Recalls-Refrigerators-Due-to-Injury-Hazard,SMEG, ,,SMEG USA Recalls Refrigerators Due to Injury Hazard
16,Samsung Recalls Slide-In Electric Ranges Due to Fire Hazard,Samsung,8/8/2024,,"NE58K9430SS/AA,NE58N9430SG/AA,NE58R9431SG/AA,NE58R9431SS/AA,NE58R9431ST/AA,NE58F9500SS/AA,NE58K9500SG/AA,NE58F9710WS/AA,NE58K9850WS/AA,NE58K9850WG/AA,NE58K9852WG/AA,NE58H9950WS/AA,NE58R9311SS/AA,NE63T8111SG/AA,NE63T8111SS/AA,NE63T8311SG/AA,NE63T8311SS/AA,NE63BG8315SSAA,NE63CB831512AA,NE63BB851112AA,NE63T8511SG/AA,NE63T8511SS/AA,NE63T8511ST/AA,NE63A8711QN/AA,NE63BB871112AA,NE63T8711SG/AA,NE63T8711SS/AA,NE63T8711ST/AA,NE63T8751SG/AA,NE63T8751SS/AA",This recall involves Samsung Electric Slide-In Ranges with the model numbers below. The model number is located on the ranges on the inside upper left corner of the oven door or inside the storage bin located on the bottom of the oven. Recalled Model Numbers NE58K9430SS/AA NE58N9430SG/AA NE58R9431SG/AA NE58R9431SS/AA NE58R9431ST/AA NE58F9500SS/AA NE58K9500SG/AA NE58F9710WS/AA NE58K9850WS/AA NE58K9850WG/AA NE58K9852WG/AA NE58H9950WS/AA NE58R9311SS/AA NE63T8111SG/AA NE63T8111SS/AA NE63T8311SG/AA NE63T8311SS/AA NE63BG8315SSAA NE63CB831512AA NE63BB851112AA NE63T8511SG/AA NE63T8511SS/AA NE63T8511ST/AA NE63A8711QN/AA NE63BB871112AA NE63T8711SG/AA NE63T8711SS/AA NE63T8711ST/AA NE63T8751SG/AA NE63T8751SS/AA,24335,,https://www.cpsc.gov/Recalls/2024/Samsung-Recalls-Slide-In-Electric-Ranges-Due-to-Fire-Hazard,Samsung,Samsung ,,Samsung Recalls Slide-In Electric Ranges Due to Fire Hazard
17,Chem-Pak Recalls Finger-Ease Guitar String Lubricants Due to Skin Irritation Hazard,Chem-Pak,8/8/2024,,220B,"This recall involves one production batch of Finger-Ease Guitar String Lubricant. The product is a clear aerosol spray sold in a white-color steel can with a black cap. The product measures about 1.5 inches long, 1.5 inches wide and 6 inches tall, and weighs about 4.5 ounces. The product has a picture of a brown guitar with the words ""Tone Finger Ease Guitar String Lubricant"" in brown, black and red lettering. There is a red horizontal stripe on the can. Printed on the can is ""Manufactured by Chem-Pak, Inc."", and the production batch code is printed in black ink on the bottom of the steel container with model number 220B and lot code 106824.",24337,,https://www.cpsc.gov/Recalls/2024/Chem-Pak-Recalls-Finger-Ease-Guitar-String-Lubricants-Due-to-Skin-Irritation-Hazard, ,-,,Chem-Pak Recalls Finger-Ease Guitar String Lubricants Due to Skin Irritation Hazard
18,Beberoad Love New Moon Travel Bassinets Recalled Due to Fall Hazard; Violation of Federal Regulations for Infant Sleep Products; Sold by Beberoadlove,Beberoad,8/1/2024,,TB999-1,"This recall involves travel bassinets sold in dark gray, blue, light gray, pink, purple and sky blue. The bassinets fold open and closed, and have a mesh mosquito net that folds over the top. The model name ""New Moon"" is printed on the canopy, and the mattresses have a star pattern. The bassinets come with a bag with handles on the top. The brand ""beberoad LOVE"" is printed on the top of the bag. Only bassinets manufactured on or after June 23, 2022 are included in this recall. The model name, model number TB999-1, and manufacture date in DD/YYYY format are located on the bottom of the bassinet in a sewn-in tag.",24324,,https://www.cpsc.gov/Recalls/2024/Beberoad-Love-New-Moon-Travel-Bassinets-Recalled-Due-to-Fall-Hazard-Violation-of-Federal-Regulations-for-Infant-Sleep-Products-Sold-by-Beberoadlove, , ,,Beberoad Love New Moon Travel Bassinets Recalled Due to Fall Hazard; Violation of Federal Regulations for Infant Sleep Products; Sold by Beberoadlove
19,Papablic Infant Swings Recalled Due to Suffocation Hazard; Violations of Federal Regulations for Infant Sleep Products; Imported by Shenzhen Two Pony,Papablic,8/1/2024,,PAPABLIC61A,"This recall involves Papablic Archie Infant Swings with model number PAPABLIC61A and batch numbers PF2106C01 and PF2301C01. The label on the back of the swing identifies the product as ""Archie Infant Swing"" and includes model and batch information. The swings measure about 25 inches in length, 25 inches in width, and 25 inches in height. These swings are gray with three hanging plush toys, including a star, moon and a koala bear, and come with an electronic remote control.",24325,,https://www.cpsc.gov/Recalls/2024/Papablic-Infant-Swings-Recalled-Due-to-Suffocation-Hazard-Violations-of-Federal-Regulations-for-Infant-Sleep-Products-Imported-by-Shenzhen-Two-Pony, , ,,Papablic Infant Swings Recalled Due to Suffocation Hazard; Violations of Federal Regulations for Infant Sleep Products; Imported by Shenzhen Two Pony
20,Peace Industry Group Recalls Youth All-Terrain Vehicles (ATVs) Due to Risk of Serious Injury or Death and Violation of Federal ATV Safety Regulations,Peace,8/1/2024,,"512 CY125ATV-1, 518 CY125ATV-6","This recall involves Peace Industry Group ""Peace Sports"" 125CC Utility and Sport Youth ATVs with model numbers 512 CY125ATV-1 and 518 CY125ATV-6. The ""Peace Sports"" brand name is located on the handlebar pad and side of the vehicle. The model number is located on the VIN plate in the lower section of the front frame. The ATVs have a plate on the lower front frame above the VIN plate, stating: ""This ATV is subject to Peace Industry Group (USA) Inc.'s Action Plan approved by U.S. Consumer Product Safety Commission.""",24326,,https://www.cpsc.gov/Recalls/2024/Peace-Industry-Group-Recalls-Youth-All-Terrain-Vehicles-ATVs-Due-to-Risk-of-Serious-Injury-or-Death-and-Violation-of-Federal-ATV-Safety-Regulations, , ,,Peace Industry Group Recalls Youth All-Terrain Vehicles (ATVs) Due to Risk of Serious Injury or Death and Violation of Federal ATV Safety Regulations
21,Origin 21 Wall Mirrors Sold Exclusively at Lowe's Stores Recalled Due to Laceration and Impact Hazards; Manufactured by Huahong Art Home Shares,Origin,8/1/2024,,"L1-MH-1647, L1-MH-1693","This recall involves the Origin 21 oval and rectangle wall mirrors. These mirrors were sold in black metal frames. The rectangle mirror measures 22 inches wide and 31 inches long, with model number L1-MH-1647. The oval mirror measures 24 inches wide and 36 inches long, with model number L1-MH-1693. The model numbers are printed on a label affixed to the back of the mirror.",24327,,https://www.cpsc.gov/Recalls/2024/Origin-21-Wall-Mirrors-Sold-Exclusively-at-Lowes-Stores-Recalled-Due-to-Laceration-and-Impact-Hazards-Manufactured-by-Huahong-Art-Home-Shares,Origin 21, ,,Origin 21 Wall Mirrors Sold Exclusively at Lowe's Stores Recalled Due to Laceration and Impact Hazards; Manufactured by Huahong Art Home Shares
23,ECHO Recalls Gas-Powered Backpack Blowers Due to Fire Hazard,ECHO,8/1/2024,,"PB-5810H, PB-5810T","This recall involves two ECHO 59.7cc gas-powered backpack blowers with the model numbers PB-5810H and PB-5810T. These blowers are designed for residential and commercial use. The blowers are orange and black in color, and ""ECHO"" is printed on the starter recoil housing. Model and serial numbers are located on a label near the right side of the black blower fan housing. This recall includes the following serial numbers: Model Number Serial Number Range PB-5810H P61312001001 to P61312002590 PB-5810T P61212001001 to P61212004155",24329,,https://www.cpsc.gov/Recalls/2024/ECHO-Recalls-Gas-Powered-Backpack-Blowers-Due-to-Fire-Hazard,ECHO, ,,ECHO Recalls Gas-Powered Backpack Blowers Due to Fire Hazard
24,Mattress Pads Recalled Due to Fire Hazard; Violation of Federal Mattress Pad Flammability Regulation; Manufactured by Avocado Mattress,Mattress,8/1/2024,,SFMPAVORG,"This recall involves Avocado-branded Organic Cotton Mattress Pad Protectors sold in sizes Twin, Twin XL, Full, Queen, King and California King. All sizes were sold in both a Standard Pocket and Deep Pocket version. The quilted, ivory-color mattress pads are made of cotton ticking and cotton fiber fill. Attached to the mattress pad is a law label listing ""Model SFMPAVORG"", manufacturer name, date of delivery, date of manufacture, fiber content, and washing instructions.",24330,,https://www.cpsc.gov/Recalls/2024/Mattress-Pads-Recalled-Due-to-Fire-Hazard-Violation-of-Federal-Mattress-Pad-Flammability-Regulation-Manufactured-by-Avocado-Mattress, , ,,Mattress Pads Recalled Due to Fire Hazard; Violation of Federal Mattress Pad Flammability Regulation; Manufactured by Avocado Mattress
26,Brompton Bicycle Recalls Brompton T-Line Foldable Bicycles Due to Fall Hazard,Brompton,8/1/2024,,,"This recall involves the Brompton foldable T-Line Bike. The product is 25.4"" H x 23.6"" W x 12.6"" D when folded. The bike has the word ""Brompton"" printed on the center tube of the frame, and a label providing the frame number and serial number on the back of the vertical seat tube. The label also has a distinctive ""T"" logo distinguishing this model from others. The bike was sold in Blasted Titanium color.",24332,,https://www.cpsc.gov/Recalls/2024/Brompton-Bicycle-Recalls-Brompton-T-Line-Foldable-Bicycles-Due-to-Fall-Hazard, , ,,Brompton Bicycle Recalls Brompton T-Line Foldable Bicycles Due to Fall Hazard
27,iFIT Recalls ProForm 50 LB Adjustable Dumbbells Due to Impact Injury Hazard,iFIT,7/25/2024,,PAMSDB20,"This recall involves the ProForm Rapid Strike 50 LB Adjustable Dumbbell Set, model PAMSDB20. The dumbbells were sold in black and include handles, weight plates and a molded plastic tray. The dumbbells adjust from 5 to 50 pounds in 5-pound increments using a manual selection pin, while the weights are nested in the base. The model number is printed on a sticker under the lip at the base of the molded tray.",24310,,https://www.cpsc.gov/Recalls/2024/iFIT-Recalls-ProForm-50-LB-Adjustable-Dumbbells-Due-to-Impact-Injury-Hazard, , ,,iFIT Recalls ProForm 50 LB Adjustable Dumbbells Due to Impact Injury Hazard
28,Clark Associates Recalls Lancaster Table & Seating Plastic Restaurant High Chairs Due to Fall Hazard,Clark,7/25/2024,,,"This recall involves 12 models of Lancaster Table & Seating Standard Height Plastic Restaurant High Chairs. The plastic high chairs are brown, black or gray, and were sold in either assembled or ready-to-assemble form, with or without wheels. The item number is printed on the warning label found on the back of the seatback. The item numbers included in the recall are: Product Name Item Number Lancaster Table & Seating Black Plastic Highchair with Tray and Wheels, assembled 274HCBKWTASM Lancaster Table & Seating Black Plastic Highchair with Tray and Wheels, unassembled 274HCHRWHLBK Lancaster Table & Seating Black Plastic Highchair with Tray, assembled 274HCBKTRASM Lancaster Table & Seating Black Plastic Highchair with Tray, unassembled 274HCHAIRBK Lancaster Table & Seating Gray Plastic Highchair with Tray and Wheels, assembled 274HCGYWTASM Lancaster Table & Seating Gray Plastic Highchair with Tray and Wheels, unassembled 274HCHRWHLGY Lancaster Table & Seating Gray Plastic Highchair with Tray, assembled 274HCGYTRASM Lancaster Table & Seating Gray Plastic Highchair with Tray, unassembled 274HCHAIRGY Lancaster Table & Seating Brown Plastic Highchair with Tray and Wheels, assembled 274HCBRWTASM Lancaster Table & Seating Brown Plastic Highchair with Tray and Wheels, unassembled 274HCHRWHLBR Lancaster Table & Seating Brown Plastic Highchair with Tray, assembled 274HCBRTRASM Lancaster Table & Seating Brown Plastic Highchair with Tray, unassembled 274HCHAIRBR",24311,,https://www.cpsc.gov/Recalls/2024/Clark-Associates-Recalls-Lancaster-Table--Seating-Plastic-Restaurant-High-Chairs-Due-to-Fall-Hazard, ,Clark,,Clark Associates Recalls Lancaster Table & Seating Plastic Restaurant High Chairs Due to Fall Hazard
29,Kawasaki USA Recalls Mule PRO 1000 Off-Highway Utility Vehicles Due to Fire Hazard,Kawasaki,7/25/2024,,"KAT1000ARFNN / ARFNL, KAF1000LRFNN/LRFNL, KAF1000MRFNN/MRFNL, KAF1000NRFNN/NRFNL, KAT1000BRFNN/BRFNL, KAT1000CRFNN/CRFNL, KAT1000DRFNN/DRFNL","This recall involves 2024 Mule PRO-FXÃ‚Â™ 1000, PRO-FXRÃ‚Â™1000 and PRO-FXTÃ‚Â™ 1000 utility vehicles. The four wheel, off-highway utility vehicles were sold in Metallic Sierra Blue, Metallic Onyx Black, Firecracker Red, Ice Gray, TRUETIMBERÃ‚Â® Strata, Metallic Titanium, and Metallic Stardust White colors. The Vehicle Identification Number (VIN) is located on the forward frame rail below the seat. The model name and model code are printed on the owner's manual. Model Numbers Model Name VIN UPC / Date Codes Assembly Date Retail Price KAT1000ARFNN / ARFNL MULE PRO-FXT 1000 LE JKAATCA12RB500001 5/10/2023 18799 KAF1000LRFNN/LRFNL MULE PRO-FX 1000 HD Edition JKAAFCL17RB500001 5/16/2023 16799 KAF1000MRFNN/MRFNL MULE PRO-FXR 1000 JKAAFCM19RB500001 5/23/2023 15099 KAF1000NRFNN/NRFNL MULE PRO-FXR 1000 LE JKAAFCN10RB500001 5/23/2023 16199 KAT1000BRFNN/BRFNL MULE PRO-FXT 1000 LE Camo JKAATCB14RB500001 5/10/2023 18899 KAT1000CRFNN/CRFNL MULE PRO-FXT 1000 LE Ranch Edition JKAATCC16RB500001 5/9/2023 20399 KAT1000DRFNN/DRFNL MULE PRO-FXT 1000 Platinum Ranch Edition JKAATCD18RB500001 5/9/2023 21899",24312,,https://www.cpsc.gov/Recalls/2024/Kawasaki-USA-Recalls-Mule-PRO-1000-Off-Highway-Utility-Vehicles-Due-to-Fire-Hazard,Kawasaki, ,,Kawasaki USA Recalls Mule PRO 1000 Off-Highway Utility Vehicles Due to Fire Hazard
30,Razor Recalls Icon Electric Scooters Due to Fall Hazard,Razor,7/25/2024,,"13110003, 13110005, 13110040, 13110042, 13110060, 13110061, 13110062, 13110063, 13110084","This recall involves all Razor Icon electric scooters with the following model and serial numbers. The model number is printed in the lower right corner of the label located on the bottom of the deck. The serial number is printed below the bar code on the same label with ""31"", and on the back of the charger. Model Numbers Serial Numbers (first 8 digits) 13110003 31EK30-01 or 31EK30-02 13110005 31EK30-01 or 31EK30-02 13110040 31EK20-01 or 31EK20-02 13110042 31EK20-01 or 31EK20-02 13110060 31EK60-01 13110061 31EK60-01 13110062 31EK90-01 13110063 31EK90-01 13110084 31EK10-01 The Razor Icons were sold in the following colors: black, blue, orange, pink and red. Razor is printed in large lettering on the stem of the handlebars and the floorboard.",24313,,https://www.cpsc.gov/Recalls/2024/Razor-Recalls-Icon-Electric-Scooters-Due-to-Fall-Hazard,Razor, ,,Razor Recalls Icon Electric Scooters Due to Fall Hazard
31,Grand Rapids Chair Company Recalls Wood Dining Chairs Due to Fall Hazard,Grand,7/25/2024,,"W520, W520-11, W520-21, W520-31, W520-33","This recall involves Brooke model chairs including: all wood dining chairs in several styles, including partially and fully upholstered seats, and fully upholstered seat and back. The model numbers W520, W520-11, W520-21, W520-31, and W520-33 can be found on the original order confirmation or invoice. If not available, reference the Special Order Number (""SO#"") found on the white sticker on the underside of each chair. A list of affected special order numbers can be found at www.grandrapidschair.com/customer-service/product-safety-recall-brooke/.",24314,,https://www.cpsc.gov/Recalls/2024/Grand-Rapids-Chair-Company-Recalls-Wood-Dining-Chairs-Due-to-Fall-Hazard, , ,,Grand Rapids Chair Company Recalls Wood Dining Chairs Due to Fall Hazard
33,"Stiger Recalls Besrey Twins Strollers Due to Entrapment, Fall and Choking Hazards; Violation of Federal Regulation for Strollers; Sold Exclusively on Amazon.com ",Stiger,7/25/2024,,BR-C708S,"This recall involves Besrey Twins Strollers, Model BR-C708S. The strollers have gray and black fabric, black frames, black wheels, and canopies that can be in the up or down position. In some units the front grab bar is covered in black fabric printed with the name ""besrey"" in white text, and in other units the front grab bar is covered in light gray fabric. Model NO. BR-C708S, the date of manufacture, and the name ""STIGER, INC."" can be found on a white label above the back right wheel. The model number listed on the instructional literature is BR-708S.",24316,,https://www.cpsc.gov/Recalls/2024/Stiger-Recalls-Besrey-Twins-Strollers-Due-to-Entrapment-Fall-and-Choking-Hazards-Violation-of-Federal-Regulation-for-Strollers-Sold-Exclusively-on-Amazon-com, , ,,"Stiger Recalls Besrey Twins Strollers Due to Entrapment, Fall and Choking Hazards; Violation of Federal Regulation for Strollers; Sold Exclusively on Amazon.com "
34,Textron Specialized Vehicles Recalls 2024 Arctic Cat Mountain 600 Snowmobiles Due to Crash Hazard,Textron,7/25/2024,,,"This recall involves 2024 Arctic Cat Mountain 600 Snowmobiles, sold in various colors. The model name is depicted as an ""M"" in the shape of a mountain and is printed on the side panels of the snowmobiles. The 10th digit of the VIN is ""R"". The VIN number is stamped on the tunnel section or the decal on the top/rear of the tunnel.",24317,,https://www.cpsc.gov/Recalls/2024/Textron-Specialized-Vehicles-Recalls-2024-Arctic-Cat-Mountain-600-Snowmobiles-Due-to-Crash-Hazard,Textron , ,,Textron Specialized Vehicles Recalls 2024 Arctic Cat Mountain 600 Snowmobiles Due to Crash Hazard
